Name
A. K. Hangal
Aadhi
Krishna (Telugu actor)
Krishnam Raju
Krishnudu
Krushna Abhishek
Kulbhushan Kharbanda
Kumar Bangarappa
Kumar Gaurav
Kumar Govind
Kumud Mishra
Kunaal Roy Kapur
Kunal Singh
Kunal Kapoor
Kunal Kapoor
Kunal Khemu
Kunchacko Boban
Kunigal Nagabhushan
Kuthiravattam Pappu
Laksh Chadalavada
Lavrenti Lopes
Lawrence Raghavendra
Laxmikant Berde
Lekh Tandon
Lohithaswa
Lokesh
Loknath
Lucky Ali
Luv Sinha
Manav Kaul
M. B. Shetty
M. G. Ramachandran
M. G. Soman
M. K. Raina
M. K. Thyagaraja Bhagavathar
M. N. Nambiar
M. P. Shankar
M. S. Narayana
M. V. Vasudeva Rao
Mac Mohan
Madan Puri
Madhu
Mahendra Sandhu
Mahesh Babu
Mahesh Manjrekar
Mahesh Kothare
Makrand Deshpande
Malaysia Vasudevan
Mammootty
Mamik Singh
Mandeep Roy
Manish Chaudhary
Mani Damodara Chakyar
Mani Madhava Chakyar
Manikuttan
Manish Raisinghani
Manivannan
Manjot Singh
Manna Dey
Manish Paul
Manoj Bajpai
Manoj Joshi
Manoj K. Jayan
Manoj Kumar
Manoj Manchu
Manoj Tiger
Manoj Tiwari
Master Hirannaiah
Master Manjunath
Master Vinayak
Mehar Mittal
Mehmood
Meiyang Chang
Michael Madhu
Milind Soman
Mimoh Chakraborty
Mithun Chakraborty
Mithun Tejaswi
Mohan Agashe
Mohan Babu
Mohanlal
Mohan Joshi
Mohan Rao
Mohan Shankar
Mohit Madaan
Mohit Marwah
Mohit Raina
Mohnish Behl
Motilal
Mukesh
Mukesh Khanna
Mukesh Tiwari
Mukkamala
Mukri
Mukhyamantri Chandru
Mukul Dev
Murali Krishna
Murali Mohan
Murali Siddalingaiah
Mysore Lokesh
Navin Prabhakar
N. S. Krishnan
Naga Chaitanya
Naga Kiran
Nagarjuna Akkineni
Nagesh
Nagendra Babu
Nagendra Prasad
Nageswara Rao Akkineni
Nagayya V.
Nagineedu
Namit Das
Namit Shah
Nana Patekar
Nani
Narain
Narasimharaju
Narasimharaju
Narendra Prasad
Naresh
Naseeruddin Shah
Nassar
Navdeep
Nawazuddin Siddiqui
Neeraj Kabi
Nedumudi Venu
Negro Johnny
Neil Bhatt
Neil Nitin Mukesh
Nikhil Gowda
Nikhil Siddharth
Nikitin Dheer
Nilu Phule
Ninad Kamat
Nipon Goswami
Nithin
Nivin Pauly
N. T. Rama Rao
N. T. Rama Rao Jr.
Nandish Sandhu
Nazir Hussain
Naveen Kasturia
Naveen Polishetty
Omkar Kapoor
Oduvil Unnikrishnan
Om Prakash
Om Puri
Om Shivpuri
Omi Vaidya
Pankaj Dheer
Pankaj Kapoor
Pankaj Tripathi
Parambrata Chatterjee
Paresh Rawal
Parikshit Sahni
Parmeet Sethi
Parvin Dabas
Parzan Dastur
Pasupathy
Pawan Kalyan
Pinchoo Kapoor
Piyush Mishra
Prabal Panjabi
Prabhas
Prabhu Deva
Prabhu
Pradeep Kumar
Pradeep Pandey
Pradeep Rawat
Prajwal Devaraj
Prakash Raj
Pran
Pranav Mohanlal
Prasadbabu
Prasanna
Prasenjit Chatterjee
Prashant Damle
Prashanta Nanda
Prashanth Thyagarajan
Prateik Babbar
Prathap
Prem
Prem Chopra
Prem Kumar
Prem Nath
Prem Nazir
Prithviraj Ballireddy
Prithviraj Kapoor
Prithviraj Sukumaran
Pu La Deshpande
Pulkit Samrat
Puneet Issar
Puneet Rajkumar
Puri Jagannadh
Pawan Singh
R. Madhavan
R. Nagendra Rao
R. Nageshwara Rao
Raaj Kumar
Raghav Juyal
Raghavendra Rajkumar
Raghu Babu
Raghu Mukherjee
Raghubir Yadav
Raghuvaran
Rahman
Rahul Roy
Rahul Bose
Rahul Dev
Rahul Varun
Raja Shankar
Raj Babbar
Raj Kapoor
Rajanala
Rajanand
Rajesh Sharma
Rajesh Sharma
Rajkummar Rao
Rajat Barmecha
Rajendra Gupta
Rajendra Kumar
Rajendra Nath
Rajesh (Kala Thapaswi)
Rajesh Khanna
Rajesh Khattar
Rajesh Krishnan
Rajit Kapoor
Rajinikanth
Ram Kapoor
Rajeev Verma
Rajiv Kanakala
Rajiv Kapoor
Rajkumar
Rajneesh Duggal
Rajpal Yadav
Raju Srivastav
Rakesh Bedi
Rakesh Roshan
Ramakrishna
Ramki
Ram Charan Teja
Ramesh Aravind
Ramesh Babu
Ramesh Bhat
Ramesh Deo
Ramesh Khanna
Ram Kumar
Ram Pothineni
Ranbir Kapoor
Randeep Hooda
Randhir Kapoor
Ranjeet
Ranveer Singh
Ranvir Shorey
Ravi Babu
Ravi Kishan
Ravi Prakash
Ravi Sarma
Ravi Shankar
Ravi Teja
Ravichandran
Ravichandran Veeraswamy
Raza Murad
Richard Rishi
Rishi Kapoor
Riteish Deshmukh
Riyaz Khan
Rockline Venkatesh
Rohit Roy
Ronit Roy
Roshan Seth
S. Narayan
