Name
Mugdha Godse
Munmun Dutta
Mugdha Chaphekar
Muskaan Mihani
Mynavathi
Nabha Natesh
Nadira
Nadiya Moidu
Nagma
Nalini
Nalini Jaywant
Namrata Shirodkar
Namrata Thapa
Namitha
Namitha Pramod
Nanda
Nandana Sen
Nandita Chandra
Nandita Swetha
Nandita Das
Nargis
Nargis Fakhri
Nathalia Kaur
Nauheed Cyrusi
Nausheen Sardar Ali
Navaneet Kaur
Navneet Kaur Dhillon
Navya Nair
Nayanthara
Nazriya Nazim
Neelam
Neelam Verma
Neelima Azeem
Neena Gupta
Neena Kulkarni
Neha Bamb
Neha Dhupia
Neha Hinge
Neha Khan
Neha Mahajan
Neha Oberoi
Neha Sharma
Neeru Bajwa
Neethu
Neetu Chandra
Neetu Singh
Nethra Raghuraman
Nia Sharma
Nicolette Bird
Nidhhi Agerwal
Nidhi Subbaiah
Niharika Konidela
Niharika Singh
Niharica Raizada
Nikesha Patel
Niki Aneja
Nikita Anand
Nikita J Palekar
Nikita Dutta
Nikita Thukral
Nikki Galrani
Meera Chopra
Nimisha Sajayan
Nimmi
Nirmala Chennappa
Nirupa Roy
Nirmalamma
Nirosha
Nisha Agarwal
Nisha Kothari
Nisha Ravikrishnan
Shantipriya
Nishi
Nishita Goswami
Nithya Das
Nithya Menen
Nivedita Jain
Nivedita Joshi Saraf
Nivetha Thomas
Nivetha Pethuraj
Noor Jehan
Nora Fatehi
Nutan
Nimrat Kaur
Nushrat Bharucha
Nathalia Kaur
Nyla Usha
Oviya Helen
Padmapriya
Padma Khanna
Padma Kumta
Padma Lakshmi
Padma Vasanthi
Padmaja Rao
Padmini Kolhapure
Padmini
Padmavati Rao
Pallavi Joshi
Pallavi Kulkarni
Pallavi Subhash
Pallavi Sharda
Panchi Bora
Pandari Bai
Pankhuri Awasthy
Pakhi Tyrewala
Paoli Dam
Parineeti Chopra
Parminder Nagra
Parul Chauhan
Parul Gulati
Parul Yadav
Parvathy Jayaram
Parvathy Nair
Parvathy Omanakuttan
Parvati Melton
Parvathy Thiruvothu
Parveen Babi
Patience Cooper
Patralekha
Payal Rohatgi
Payel Sarkar
Payal Ghosh
Perizaad Zorabian
Pia Bajpai
Plabita Borthakur
Pooja Batra
Pooja Bedi
Pooja Bhatt
Pooja Chopra
Pooja Gandhi
Pooja Gor
Pooja Hegde
Pooja Kanwal
Pooja Lokesh
Pooja Sawant
Pooja Umashankar
Poonam Bajwa
Poonam Dhillon
Poonam Kaur
Poonam Pandey
Poornima Bhagyaraj
Prayaga Martin
Prachi Desai
Prachi Shah
Pramila Joshai
Pratibha Sinha
Pranitha Subhash
Pranutan Bahl
Prarthana Behere
Prastuti Parashar
Preetha Vijayakumar
Preeti Jhangiani
Preity Zinta
Prema
Prema Narayan
Priti Sapru
Priya Anand
Priya Bapat
Priya Gill
Priya Lal
Priya Raman
Priya Rajvansh
Priya Bhavani Shankar
Priya Wal
Priyamani
Priyanka Bassi
Priyanka Chopra Jonas
Priyanka Arul Mohan
Priyanka Nair
Priyanka Trivedi
Preetika Rao
Puja Gupta
Puja Banerjee
Purbi Joshi
Raakhee
Radhika Apte
Radhika Madan
Raadhika Sarathkumar
Rachana Narayanankutty
Rachna Banerjee
Radha
Radha Saluja
Radhika Chaudhari
Radhika Kumaraswamy
Radhika Pandit
Ragini
Ragini Dwivedi
Ragini Khanna
Raima Sen
Rajisha Vijayan
Rajshree
Rajshri Deshpande
Rakhi Sawant
Rakul Preet Singh
Rakshita
Raashi Khanna
Rambha
Rameshwari
Ranjeeta Kaur
Ranjitha
