subcat1,name,height, gender
Actor,JC Chasez,179.07,F
Actor,Morris Chestnut,179.07,M
Actor,Maurice Chevalier,179.07,M
Actor,Matt Cohen,179.07,M
Actor,Lily Cole,179.07,F
Actor,Chace Crawford,179.07,F
Actor,Russell Crowe,179.07,M
Actor,Steven Culp,179.07,M
Actor,Adrianne Curry,179.07,F
Actor,James Badge Dale,179.07,M
Actor,Matt Dawson,179.07,M
Actor,James DeBello,179.07,M
Actor,Padraic Delaney,179.07,M
Actor,Matt Doran,179.07,M
Actor,Ellen Dubin,179.07,F
Actor,Tamsin Egerton,179.07,F
Actor,Ron Eldard,179.07,F
Actor,William Forsythe,179.07,M
Actor,James Franco,179.07,M
Actor,Carl Franklin,179.07,M
Actor,Peter Gabriel,179.07,M
Actor,Kip Gamblin,179.07,M
Actor,Adam Garcia,179.07,M
Actor,Andrew Garfield,179.07,M
Actor,Crispin Glover,179.07,M
Actor,Topher Grace,179.07,M
Actor,Adrian Grenier,179.07,M
Actor,Steve Guttenberg,179.07,M
Actor,Josh Hamilton,179.07,M
Actor,Harry Hamlin,179.07,M
Actor,Rolf Harris,179.07,M
Actor,Fran Healy,179.07,F
Actor,Mariel Hemingway,179.07,F
Actor,Gregg Henry,179.07,M
Actor,Douglas Henshall,179.07,M
Actor,Josh Herdman,179.07,M
Actor,Virginia Hey,179.07,F
Actor,Bob Hope,179.07,M
Actor,Rachel Hunter,179.07,F
Actor,Daniel Johns,179.07,M
Actor,Tom Jones,179.07,M
Actor,Peter Jurasik,179.07,M
Actor,Daniel Kash,179.07,M
Actor,Gorden Kaye,179.07,M
Actor,Stacy Keibler,179.07,F
Actor,DeForest Kelley,179.07,M
Actor,Nicole Kidman,179.6,F
Actor,Elias Koteas,179.07,M
Actor,John Landis,179.07,M
Actor,Stephen Lang,179.07,M
Actor,NeNe Leakes,179.07,M
Actor,John Lennon,179.07,M
Actor,Jerry Lewis,179.07,F
Actor,Johnny Lewis,179.07,M
Actor,Chad Lindberg,179.07,M
Actor,Ron Livingston,179.07,F
Actor,Adetokumboh M'Cormack,179.07,F
Actor,Dean Martin,179.07,M
Actor,Francis Matthews,179.07,F
Actor,Danny McBride,179.07,M
Singer,Paul McCartney,179.07,M
Singer,Tim McGraw,179.07,M
Singer,Alex Meraz,179.07,F
Singer,Ben Murphy,179.07,M
Singer,Kai Owen,179.07,F
Singer,Michael Palin,179.07,M
Singer,Erik Palladino,179.07,M
Singer,William Petersen,179.07,M
Singer,Alex Pettyfer,179.07,F
Singer,Michael Pitt,179.07,M
Singer,Rie Rasmussen,179.07,M
Singer,Stephen Rea,179.07,M
Actor,Robert Redford,179.1,M
Actor,Callum Keith Rennie,179.07,M
Actor,Matthew Rhys,179.07,M
Actor,John Robinson,179.07,M
Actor,Telly Savalas,179.07,M
Actor,John Saxon,179.07,M
Actor,George Segal,179.07,M
Actor,Garry Shandling,179.07,M
Actor,Victoria Silvstedt,179.07,F
Actor,J.K. Simmons,179.07,F
Actor,Carly Simon,179.07,F
Actor,Hugh Simon,179.07,M
Actor,Tom Sizemore,179.07,M
Actor,Riley Smith,179.07,F
Actor,Vincent Spadea,179.07,M
Actor,Frank Stallone,179.07,M
Actor,Wes Studi,179.07,M
Actor,D. B. Sweeney,179.07,M
Actor,Tilda Swinton,179.07,F
Actor,Mr T,179.07,M
Actor,Neil Tennant,179.07,M
Actor,Lee Tergesen,179.07,F
Actor,Henry Thomas,179.07,M
Actor,Gina Torres,179.07,F
Actor,Stuart Townsend,179.07,M
Actor,Jan Michael Vincent,179.07,F
Actor,Ian Watkins,179.07,M
Actor,David Wenham,179.07,M
Actor,Jaleel White,179.07,M
Actor,Bradley Whitford,179.07,M
Actor,Larry Wilcox,179.07,M
Actor,Gene Wilder,179.07,M
Actor,Treat Williams,179.07,M
Actor,Owen Wilson,179.1,M
Actor,Kim Woodburn,179.07,F
Actor,Peter Woodward,179.07,M
Actor,Michael York,179.07,M
Actor,Jonathon Young,179.07,M
Actor,Andre Agassi,179.7,M
Actor,Wes Bentley,179.7,M
Actor,Charlie Bewley,179.7,F
Actor,George Clooney,179.7,M
Actor,Gerard Depardieu,179.7,M
Actor,Matt Dillon,179.7,M
Other,Aaron Douglas,179.7,M
Actor,Aaron Eckhart,179.7,M
Actor,Jared Harris,179.7,M
Actor,Gregory Harrison,179.7,M
Actor,Craig Horner,179.7,M
Actor,Wyclef Jean,179.7,M
Actor,James Charles Leary,179.7,M
Actor,James Morrison,179.7,M
Actor,Glenn Morshower,179.7,M
Actor,Viggo Mortensen,179.7,M
Actor,Eric Stoltz,179.7,M
Actor,Eric Szmanda,179.7,M
Actor,Tyrese ,179.7,M
Actor,Rupert Graves,180.02,M
Actor,F. Murray Abraham,177.8,M
Actor,Scott Adkins,177.8,M
Actor,Akon ,177.8,M
Actor,Joan Allen,177.8,F
Actor,Tony Amendola,177.8,M
Actor,Ronni Ancona,177.8,M
Actor,Mini Anden,177.8,M
Actor,Miles Anderson,177.8,M
Actor,Erin Andrews,177.8,F
Actor,Kurt Angle,177.8,M
Actor,Jeffrey Archer,177.8,M
Actor,Alan Arkin,177.8,M
Actor,Matthew John Armstrong,177.8,M
Actor,Eion Bailey,177.8,M
Actor,Conrad Bain,177.8,M
Actor,Scott Baio,177.8,M
Actor,Patrick Baladi,177.8,M
Actor,Zoe Ball,177.8,F
Actor,Alex Band,177.8,F
Actor,Tyra Banks,177.8,F
Actor,Jacinda Barrett,177.8,F
Actor,David Alan Basche,177.8,M
Actor,Max Beesley,177.8,M
Actor,Gil Bellows,177.8,M
Actor,Andre Benjamin,177.8,M
Actor,Chester Bennington,177.8,M
Actor,Robby Benson,177.8,M
Actor,Daniel Benzali,177.8,M
Actor,Sandra Bernhard,177.8,F
Actor,James Bourne,177.8,M
Actor,David Bowie,177.8,M
Actor,Nicholas Brendon,177.8,M
Actor,Beau Bridges,177.8,M
Actor,Richard Briers,177.8,M
Actor,Josh Brolin,177.8,M
Actor,Bobby Brown,177.8,M
Actor,Steve Burton,177.8,M
Actor,Nestor Carbonell,177.8,M
Actor,Drew Carey,177.8,M
Actor,Lynda Carter,177.8,F
Actor,Chamillionaire ,177.8,F
Actor,Prince Charles,177.8,M
Actor,John Cho,177.8,M
Actor,Helena Christensen,177.8,F
Actor,Chyna ,177.8,F
Actor,Louise Caire Clark,177.8,F
Actor,Montgomery Clift,177.8,M
Actor,Rory Cochrane,177.8,M
Athlete,Ronnie Coleman,185,M
Athlete,Carla Collins,177.8,F
Athlete,Sarah Connor,177.8,F
Athlete,Josh Cooke,177.8,M
Athlete,Chris Cooper,177.8,F
Athlete,Paulo Costanzo,177.8,M
Athlete,Charlie Cox,177.8,F
Athlete,Kevin Cronin,177.8,M
Actor,Matt Damon,177.8,M
Actor,Rodney Dangerfield,177.8,M
Actor,Paul Darrow,177.8,M
Actor,Damon Dash,177.8,M
Actor,Ramon De Ocampo,177.8,M
Actor,Angus Deayton,177.8,M
Actor,Laura Dern,177.8,F
Actor,William Devane,177.8,M
Actor,Princess Diana,177.8,F
Actor,P Diddy,177.8,F
Actor,Walt Disney,177.8,M
Actor,Micky Dolenz,177.8,M
Actor,Michael Douglas,177.8,M
Actor,Minnie Driver,177.8,F
Actor,Eliza Du Toit,177.8,F
Actor,Anne Dudek,177.8,F
Actor,Rockmond Dunbar,177.8,F
Actor,Michael Ealy,177.8,M
Actor,Christine Ebersole,177.8,F
Actor,Adrian Edmondson,177.8,M
Actor,Chiwetel Ejiofor,177.8,M
Actor,Steven Elder,177.8,M
Actor,Jenna Elfman,177.8,F
Actor,Ethan Embry,177.8,M
Actor,Harry Enfield,177.8,M
